station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
BEMGK07	00GK07	BE	Belgium	00GK07 - GENK	2006-04-04		Industrial		suburban			5.501561	50.898647	83	GENK				no
BEMGK08	00GK08	BE	Belgium	00GK08 - GENK	2006-03-28		Industrial		suburban			5.556484	50.927971	83	GENK				no
BEMGK10	00GK10	BE	Belgium	00GK10 - GENK	2008-04-03	2008-07-06	Industrial		suburban			5.484492	50.922725	45	GENK				no
BEMGK11	00GK11	BE	Belgium	00GK11 - GENK	2009-05-01		Industrial		suburban			5.519072	50.932163	45	GENK				no
BEMGK12	00GK12	BE	Belgium	00GK12 - GENK	2009-05-01		Industrial		suburban			5.521866	50.936443	45	GENK				no
BEMGK13	00GK13	BE	Belgium	00GK13 - GENK	2009-05-01		Industrial		suburban			5.530122	50.933132	45	GENK				no
BEMGN05	00GN05	BE	Belgium	00GN05 - GENT	2002-09-07		Traffic		urban		Wide street: L/H > 1.5	3.714628	51.027061	10	GENT				no
BEMHB01	00HB01	BE	Belgium	00HB01 - HOBOKEN	1977-06-01		Industrial		suburban			4.338692	51.172684	10	HOBOKEN				no
BEMHB17	00HB17	BE	Belgium	00HB17 - HOBOKEN	1978-04-01		Industrial		suburban			4.336589	51.170555	10	HOBOKEN				no
BEMHB18	00HB18	BE	Belgium	00HB18 - HOBOKEN	1978-08-01		Industrial		suburban		Wide street: L/H > 1.5	4.342850	51.174412	10	HOBOKEN				no
BEMHB19	00HB19	BE	Belgium	00HB19 - HOBOKEN	1980-03-01	2009-01-06	Industrial		suburban		Unknown	4.345442	51.168419	16	HOBOKEN				no
BEMHB20	00HB20	BE	Belgium	00HB20 - KRUIBEKE	1998-10-09	2006-01-12	Industrial		suburban			4.323825	51.167362	8	KRUIBEKE				no
BEMHB23	00HB23	BE	Belgium	00HB23 - HOBOKEN	2000-01-01		Industrial		suburban			4.339736	51.170555	13	HOBOKEN				no
BEMHB24	00HB24	BE	Belgium	00HB24 - HOBOKEN	2000-01-01		Industrial		suburban			4.361481	51.180525	10	HOBOKEN				no
